Code,Gender,Gender_Coded,Age,User_Language,Belonging1,Belonging2,Belonging3,Belonging4,Belonging5,Belonging6,Belonging7,Belonging8,Belonging9,Belonging10,Belonging11,Belonging12,Belonging13,Belonging14,Belonging15,Belonging16,Belonging17,Belonging18,Belonging19,Belonging20,TotalBelonging,AverageBelonging
IZ2USN,Female,2,39,English,3,3,2,4,1,4,2,2,3,3,3,3,2,2,5,3,2,3,4,5,59,2.95
IZ67A,Female,2,69,English,2,2,4,1,1,2,2,1,2,2,2,2,2,2,5,4,4,4,2,5,51,2.55
J,Female,2,29,english,4,4,3,2,4,3,5,2,3,4,3,3,5,3,4,4,3,3,2,1,65,3.25
Jenni Northcote,Male,1,54,English,4,4,4,4,3,4,3,3,3,4,2,4,4,4,5,4,3,4,4,5,75,3.75
Jordanna Peters,Male,1,39,English,4,4,4,2,4,4,2,2,4,3,4,4,4,4,4,5,2,3,4,4,71,3.55
JZ87J2,Female,2,42,Welsh,5,5,5,5,5,5,4,4,4,5,3,4,5,4,4,4,4,4,4,4,87,4.35
Kim Martin,Male,1,39,English,3,2,3,3,1,2,2,3,2,2,1,2,3,2,4,3,1,1,2,3,45,2.25
Luca Bufa,Male,1,22,"English , Russian",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,21,1.05
Monica Eng,Female,2,40,English,3,3,2,1,1,1,1,2,1,1,2,1,2,2,4,2,1,2,1,2,35,1.75
N,Female,2,40,ENGLISH,3,4,5,5,4,4,4,4,3,4,2,4,3,3,4,4,4,4,3,4,75,3.75
Phobie Mboti,Female,2,36,English,4,4,3,3,3,4,3,5,4,4,3,3,5,4,5,4,2,2,4,3,72,3.6
Please use the following code   UZ1812E  https://wolverhamptonpsych.eu.qualtrics.com/jfe/form/SV_ehTjNnAcbUVbGM6,Female,2,53,English,4,4,4,4,5,4,4,4,4,4,3,4,5,4,3,4,3,3,4,4,78,3.9
Ref ii UZ118A,Female,2,32,English,4,4,3,3,3,4,4,4,3,4,3,4,4,4,4,4,1,3,4,4,71,3.55
Sarah Donovan Byrne,Male,1,64,English,5,5,4,4,4,4,4,4,1,2,1,1,1,3,4,1,1,1,1,1,52,2.6
SN1,Female,2,41,English,4,4,2,2,3,4,4,5,4,4,2,2,4,4,4,4,2,2,4,4,68,3.4
U Z 151O R,Female,2,33,Arabic,5,5,5,4,4,5,4,5,5,5,1,5,5,5,5,5,1,5,5,5,89,4.45
U10108C,Female,2,24,English,4,4,3,5,4,3,4,3,5,4,2,4,4,4,5,5,4,5,5,5,82,4.1
U157C,Female,2,33,English,4,4,3,3,3,3,3,4,3,4,2,3,4,3,3,4,2,2,3,4,64,3.2
U21812D,Female,2,33,English,5,4,4,5,4,5,5,5,5,4,1,4,5,5,4,5,1,4,5,4,84,4.2
U2192J,Male,1,31,English,4,4,2,5,1,5,3,4,1,5,5,5,3,5,5,3,1,1,3,3,68,3.4
U2214,Female,2,66,English,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,60,3
U22214D,Female,2,63,English,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,4,1,3,4,5,88,4.4
U228H,Female,2,48,English,4,5,5,4,4,4,4,5,4,5,2,4,5,5,4,4,5,3,4,5,85,4.25
U281B1,Female,2,36,English,4,4,4,4,4,4,3,4,4,4,1,3,4,4,5,3,1,4,4,3,71,3.55
U281C1,Female,2,37,English,2,2,2,2,2,1,2,1,1,4,1,1,5,1,3,1,1,2,2,5,41,2.05
U281G1,Female,2,32,English,2,4,2,4,4,4,4,4,4,4,5,4,4,4,5,4,2,1,4,5,74,3.7
U6168B,Female,2,56,English,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,4,5,5,95,4.75
UB17C,Female,2,20,English,2,5,4,4,4,5,3,3,5,4,1,4,5,2,5,3,5,1,3,5,73,3.65
Ug14z,Male,1,35,English,4,4,4,4,4,4,4,3,3,2,3,4,4,4,3,4,1,3,4,3,69,3.45
UG311D,Female,2,44,English,5,5,4,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,5,5,94,4.7
UK139B,Male,1,32,English,5,4,1,1,4,4,4,4,4,2,1,2,4,4,4,1,2,4,4,4,63,3.15
UK139N,Male,1,42,English,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,4,3,91,4.55
UK157K,Female,2,48,English,4,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,4,94,4.7
UK205F,Female,2,47,Greek,4,4,5,4,3,3,3,4,4,4,3,3,4,4,3,3,2,2,3,4,69,3.45
Uk39M,Male,1,50,English,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,4.95
UnPHCxxM,Female,2,37,english and arabic,5,4,5,5,4,4,5,4,4,4,2,4,5,4,4,4,2,2,4,5,80,4
Us11h,Female,2,20,English,3,4,4,5,3,3,4,4,3,4,1,4,4,4,5,2,2,4,4,3,70,3.5
us11i,Female,2,65,English,4,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,3,4,4,4,90,4.5
